exercice;periode_menu;date;heure;no_ticket;no_z;id_ticket;ref_produit;menu;quantite;prix_unitaire_ttc;prix_catalogue_attendus;prix_nominal_periode;ecart_vs_nominal;montant_ligne_ttc;statut;motif
2024-2025;A (17/04/2023-17/07/2025);2024-08-28;10:15;1;3483;64462;0196;Menu 'Demi Lune';2.0;30.0;45.0;45.0;-15.0;60.0;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2024-08-28;13:04;13;3483;64476;0196;Menu 'Demi Lune';5.0;39.08;45.0;45.0;-5.92;195.4;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2024-08-30;20:55;31;3485;64582;2037;Menu Franc-Comtois;2.0;37.02;32.0/34.0;34.0;3.02;74.04;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2024-08-31;12:39;9;3486;64593;2037;Menu Franc-Comtois;1.0;37.2;32.0/34.0;34.0;3.2;37.2;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2024-08-31;19:42;24;3486;64612;0196;Menu 'Demi Lune';1.0;51.7;45.0;45.0;6.7;51.7;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2024-08-31;20:23;31;3486;64614;2037;Menu Franc-Comtois;2.0;36.3;32.0/34.0;34.0;2.3;72.6;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2024-09-04;11:42;2;3488;64671;0196;Menu 'Demi Lune';1.0;21.6;45.0;45.0;-23.4;21.6;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2024-09-04;20:14;30;3488;64696;2037;Menu Franc-Comtois;2.0;30.1;32.0/34.0;34.0;-3.9;60.2;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2024-09-06;12:10;5;3490;64750;0196;Menu 'Demi Lune';2.0;51.5;45.0;45.0;6.5;103.0;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2024-09-11;11:24;1;3493;64856;0196;Menu 'Demi Lune';2.0;50.0;45.0;45.0;5.0;100.0;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2024-09-11;19:03;10;3493;64874;1928;Menu Végétarien;1.0;26.02;23.0/25.0/26.5;26.5;-0.48;26.02;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2024-09-11;19:04;11;3493;64875;1928;Menu Végétarien;1.0;26.02;23.0/25.0/26.5;26.5;-0.48;26.02;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2024-09-11;19:04;12;3493;64876;1928;Menu Végétarien;1.0;26.02;23.0/25.0/26.5;26.5;-0.48;26.02;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2024-09-11;19:04;13;3493;64877;1928;Menu Végétarien;1.0;26.02;23.0/25.0/26.5;26.5;-0.48;26.02;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2024-09-11;19:33;17;3493;64878;1928;Menu Végétarien;2.0;27.56;23.0/25.0/26.5;26.5;1.06;55.12;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2024-09-11;19:33;17;3493;64878;0196;Menu 'Demi Lune';1.0;27.58;45.0;45.0;-17.42;27.58;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2024-09-11;20:06;23;3493;64879;2036;Menu Bourguignon;2.0;36.55;32.0/34.0;34.0;2.55;73.1;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2024-09-13;20:46;18;3495;64944;2036;Menu Bourguignon;2.0;50.0;32.0/34.0;34.0;16.0;100.0;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2024-09-13;20:46;18;3495;64944;0196;Menu 'Demi Lune';2.0;42.15;45.0;45.0;-2.85;84.3;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2024-09-18;20:49;29;3498;65034;0196;Menu 'Demi Lune';3.0;28.63;45.0;45.0;-16.37;85.89;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2024-09-19;20:14;31;3499;65089;0196;Menu 'Demi Lune';3.0;50.0;45.0;45.0;5.0;150.0;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2024-09-20;13:42;15;3500;65104;1930;Menu du Dahu;1.0;57.8;29.9;29.9;27.9;57.8;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2024-09-20;20:01;33;3500;65122;1930;Menu du Dahu;1.0;29.3;29.9;29.9;-0.6;29.3;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2024-09-20;20:25;36;3500;65114;1930;Menu du Dahu;1.0;30.0;29.9;29.9;0.1;30.0;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2024-09-25;20:25;25;3503;65245;0196;Menu 'Demi Lune';1.0;42.46;45.0;45.0;-2.54;42.46;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2024-09-25;20:25;26;3503;65246;0196;Menu 'Demi Lune';1.0;42.47;45.0;45.0;-2.53;42.47;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2024-09-25;20:26;27;3503;65247;0196;Menu 'Demi Lune';1.0;42.7;45.0;45.0;-2.3;42.7;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2024-09-27;12:15;5;3505;65281;0196;Menu 'Demi Lune';2.0;30.0;45.0;45.0;-15.0;60.0;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2024-10-03;19:19;17;3509;65419;1928;Menu Végétarien;2.0;28.0;23.0/25.0/26.5;26.5;1.5;56.0;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2024-10-04;18:54;11;3510;65428;0196;Menu 'Demi Lune';2.0;57.95;45.0;45.0;12.95;115.9;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2024-10-09;12:41;4;3513;65518;1930;Menu du Dahu;1.0;25.1;29.9;29.9;-4.8;25.1;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2024-10-11;12:44;6;3515;65583;0196;Menu 'Demi Lune';2.0;50.0;45.0;45.0;5.0;100.0;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2024-10-16;19:33;12;3518;65683;2036;Menu Bourguignon;1.0;32.9;32.0/34.0;34.0;-1.1;32.9;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2024-10-16;19:34;13;3518;65685;2036;Menu Bourguignon;1.0;32.9;32.0/34.0;34.0;-1.1;32.9;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2024-10-16;20:00;18;3518;65671;1930;Menu du Dahu;1.0;27.22;29.9;29.9;-2.68;27.22;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2024-10-17;11:52;2;3519;65697;0196;Menu 'Demi Lune';2.0;33.6;45.0;45.0;-11.4;67.2;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2024-10-17;11:52;3;3519;65698;2036;Menu Bourguignon;2.0;33.6;32.0/34.0;34.0;-0.4;67.2;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2024-10-17;19:38;12;3519;65717;2036;Menu Bourguignon;1.0;30.0;32.0/34.0;34.0;-4.0;30.0;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2024-10-17;19:38;13;3519;65718;0196;Menu 'Demi Lune';1.0;47.2;45.0;45.0;2.2;47.2;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2024-10-19;19:42;12;3521;65759;0196;Menu 'Demi Lune';1.0;29.7;45.0;45.0;-15.3;29.7;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2024-10-23;19:33;19;3523;65817;2037;Menu Franc-Comtois;2.0;29.2;32.0/34.0;34.0;-4.8;58.4;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2024-10-31;13:06;12;3529;65992;0196;Menu 'Demi Lune';5.0;48.68;45.0;45.0;3.68;243.4;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2024-11-07;19:38;14;3534;66152;2036;Menu Bourguignon;2.0;29.6;32.0/34.0;34.0;-4.4;59.2;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2024-11-09;19:47;17;3536;66222;0196;Menu 'Demi Lune';1.0;60.0;45.0;45.0;15.0;60.0;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2024-11-15;19:18;10;3540;66302;1930;Menu du Dahu;2.0;28.05;29.9;29.9;-1.85;56.1;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2024-11-21;12:20;3;3544;66378;0196;Menu 'Demi Lune';2.0;29.2;45.0;45.0;-15.8;58.4;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2024-11-27;12:24;4;3548;66466;0196;Menu 'Demi Lune';2.0;25.7;45.0;45.0;-19.3;51.4;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2024-11-30;19:33;15;3551;66576;0196;Menu 'Demi Lune';2.0;30.0;45.0;45.0;-15.0;60.0;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2024-12-07;12:53;5;3556;66661;0196;Menu 'Demi Lune';1.0;60.0;45.0;45.0;15.0;60.0;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2024-12-11;12:49;4;3558;66701;1930;Menu du Dahu;2.0;47.9;29.9;29.9;18.0;95.8;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2024-12-11;20:36;18;3558;66714;0196;Menu 'Demi Lune';3.0;50.0;45.0;45.0;5.0;150.0;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2024-12-11;20:36;18;3558;66714;0196;Menu 'Demi Lune';1.0;52.1;45.0;45.0;7.1;52.1;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2024-12-13;11:15;1;3560;66765;0196;Menu 'Demi Lune';2.0;60.0;45.0;45.0;15.0;120.0;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2024-12-14;13:14;9;3561;66800;0196;Menu 'Demi Lune';2.0;50.0;45.0;45.0;5.0;100.0;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2024-12-15;13:15;7;3562;66823;0196;Menu 'Demi Lune';5.0;64.72;45.0;45.0;19.72;323.6;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2024-12-18;12:31;5;3563;66842;0196;Menu 'Demi Lune';2.0;40.0;45.0;45.0;-5.0;80.0;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2024-12-18;19:57;21;3563;66857;0196;Menu 'Demi Lune';2.0;66.8;45.0;45.0;21.8;133.6;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2024-12-19;10:24;1;3564;66867;0196;Menu 'Demi Lune';2.0;25.0;45.0;45.0;-20.0;50.0;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2024-12-20;11:23;1;3565;66888;0196;Menu 'Demi Lune';2.0;30.0;45.0;45.0;-15.0;60.0;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2024-12-20;12:28;4;3565;66893;0196;Menu 'Demi Lune';2.0;50.0;45.0;45.0;5.0;100.0;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2024-12-21;16:40;10;3566;66922;0196;Menu 'Demi Lune';2.0;50.0;45.0;45.0;5.0;100.0;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2024-12-31;22:22;7;3572;67052;0196;Menu 'Demi Lune';2.0;60.0;45.0;45.0;15.0;120.0;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2024-12-31;22:22;9;3572;67056;0196;Menu 'Demi Lune';2.0;60.0;45.0;45.0;15.0;120.0;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2024-12-31;23:15;11;3572;67055;0196;Menu 'Demi Lune';4.0;60.0;45.0;45.0;15.0;240.0;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2025-03-05;19:32;20;3577;67194;2037;Menu Franc-Comtois;2.0;35.95;32.0/34.0;34.0;1.95;71.9;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2025-03-06;10:54;1;3578;67205;0196;Menu 'Demi Lune';2.0;50.0;45.0;45.0;5.0;100.0;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2025-03-06;18:36;17;3578;67217;0196;Menu 'Demi Lune';1.0;37.2;45.0;45.0;-7.8;37.2;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2025-03-06;19:53;25;3578;67231;0196;Menu 'Demi Lune';2.0;40.0;45.0;45.0;-5.0;80.0;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2025-03-14;19:45;9;3584;67368;2037;Menu Franc-Comtois;1.0;33.0;32.0/34.0;34.0;-1.0;33.0;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2025-03-14;19:45;10;3584;67379;2037;Menu Franc-Comtois;1.0;33.0;32.0/34.0;34.0;-1.0;33.0;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2025-03-14;20:39;14;3584;67383;0196;Menu 'Demi Lune';1.0;30.0;45.0;45.0;-15.0;30.0;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2025-03-19;20:24;19;3587;67456;2037;Menu Franc-Comtois;4.0;37.67;32.0/34.0;34.0;3.67;150.68;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2025-03-19;20:25;20;3587;67457;2037;Menu Franc-Comtois;4.0;38.0;32.0/34.0;34.0;4.0;152.0;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2025-03-19;20:25;20;3587;67457;2036;Menu Bourguignon;1.0;36.42;32.0/34.0;34.0;2.42;36.42;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2025-03-22;20:09;21;3590;67539;0196;Menu 'Demi Lune';2.0;39.07;45.0;45.0;-5.93;78.14;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2025-03-27;11:44;5;3593;67582;2036;Menu Bourguignon;1.0;29.2;32.0/34.0;34.0;-4.8;29.2;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2025-03-28;11:43;1;3594;67605;2037;Menu Franc-Comtois;2.0;29.0;32.0/34.0;34.0;-5.0;58.0;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2025-03-28;11:43;1;3594;67605;1928;Menu Végétarien;1.0;23.5;23.0/25.0/26.5;26.5;-3.0;23.5;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
2024-2025;A (17/04/2023-17/07/2025);2025-03-30;12:25;3;3596;67672;2037;Menu Franc-Comtois;1.0;32.3;32.0/34.0;34.0;-1.7;32.3;PRIX PERSONNALISE;Prix ne correspond a aucun prix catalogue connu du menu -> facture sans detail -> exclu du calcul alcool
