Cremant ouvert au service, jour par jour - exercice 2022-2023
Source : ANNEXE-C, detail des tickets. Doses retenues par le service (reponse du 04/09/2026, p. 62) : cocktails 6 cl, verre 12 cl. Bouteille = 75 cl. Une bouteille de cremant ouverte n'est pas reservable au lendemain : le solde du soir est perdu.

Date;Cremant vendu (cl, doses carte);Verse a +0,0 % (cl);Bouteilles ouvertes +0,0 %;Jete le soir +0,0 % (cl);Verse a +2,5 % (cl);Bouteilles ouvertes +2,5 %;Jete le soir +2,5 % (cl);Verse a +5,0 % (cl);Bouteilles ouvertes +5,0 %;Jete le soir +5,0 % (cl);Verse a +7,5 % (cl);Bouteilles ouvertes +7,5 %;Jete le soir +7,5 % (cl);Verse a +10,0 % (cl);Bouteilles ouvertes +10,0 %;Jete le soir +10,0 % (cl);Verse a +12,5 % (cl);Bouteilles ouvertes +12,5 %;Jete le soir +12,5 % (cl);Verse a +15,0 % (cl);Bouteilles ouvertes +15,0 %;Jete le soir +15,0 % (cl);Verse a +17,5 % (cl);Bouteilles ouvertes +17,5 %;Jete le soir +17,5 % (cl);Verse a +20,0 % (cl);Bouteilles ouvertes +20,0 %;Jete le soir +20,0 % (cl);Verse a +23,6 % (cl);Bouteilles ouvertes +23,6 %;Jete le soir +23,6 % (cl)
2022-04-14;54,0;54,0;1;21,0;55,3;1;19,7;56,7;1;18,3;58,0;1;17,0;59,4;1;15,6;60,8;1;14,2;62,1;1;12,9;63,5;1;11,5;64,8;1;10,2;66,7;1;8,3
2022-04-15;54,0;54,0;1;21,0;55,3;1;19,7;56,7;1;18,3;58,0;1;17,0;59,4;1;15,6;60,8;1;14,2;62,1;1;12,9;63,5;1;11,5;64,8;1;10,2;66,7;1;8,3
2022-04-16;78,0;78,0;2;72,0;79,9;2;70,1;81,9;2;68,1;83,8;2;66,2;85,8;2;64,2;87,8;2;62,2;89,7;2;60,3;91,7;2;58,3;93,6;2;56,4;96,4;2;53,6
2022-04-17;42,0;42,0;1;33,0;43,0;1;32,0;44,1;1;30,9;45,1;1;29,9;46,2;1;28,8;47,2;1;27,8;48,3;1;26,7;49,4;1;25,6;50,4;1;24,6;51,9;1;23,1
2022-04-18;30,0;30,0;1;45,0;30,7;1;44,2;31,5;1;43,5;32,2;1;42,8;33,0;1;42,0;33,8;1;41,2;34,5;1;40,5;35,2;1;39,8;36,0;1;39,0;37,1;1;37,9
2022-04-20;30,0;30,0;1;45,0;30,7;1;44,2;31,5;1;43,5;32,2;1;42,8;33,0;1;42,0;33,8;1;41,2;34,5;1;40,5;35,2;1;39,8;36,0;1;39,0;37,1;1;37,9
2022-04-21;96,0;96,0;2;54,0;98,4;2;51,6;100,8;2;49,2;103,2;2;46,8;105,6;2;44,4;108,0;2;42,0;110,4;2;39,6;112,8;2;37,2;115,2;2;34,8;118,7;2;31,3
2022-04-22;36,0;36,0;1;39,0;36,9;1;38,1;37,8;1;37,2;38,7;1;36,3;39,6;1;35,4;40,5;1;34,5;41,4;1;33,6;42,3;1;32,7;43,2;1;31,8;44,5;1;30,5
2022-04-23;42,0;42,0;1;33,0;43,0;1;32,0;44,1;1;30,9;45,1;1;29,9;46,2;1;28,8;47,2;1;27,8;48,3;1;26,7;49,4;1;25,6;50,4;1;24,6;51,9;1;23,1
2022-04-24;24,0;24,0;1;51,0;24,6;1;50,4;25,2;1;49,8;25,8;1;49,2;26,4;1;48,6;27,0;1;48,0;27,6;1;47,4;28,2;1;46,8;28,8;1;46,2;29,7;1;45,3
2022-04-27;42,0;42,0;1;33,0;43,0;1;32,0;44,1;1;30,9;45,1;1;29,9;46,2;1;28,8;47,2;1;27,8;48,3;1;26,7;49,4;1;25,6;50,4;1;24,6;51,9;1;23,1
2022-04-28;60,0;60,0;1;15,0;61,5;1;13,5;63,0;1;12,0;64,5;1;10,5;66,0;1;9,0;67,5;1;7,5;69,0;1;6,0;70,5;1;4,5;72,0;1;3,0;74,2;1;0,8
2022-04-29;24,0;24,0;1;51,0;24,6;1;50,4;25,2;1;49,8;25,8;1;49,2;26,4;1;48,6;27,0;1;48,0;27,6;1;47,4;28,2;1;46,8;28,8;1;46,2;29,7;1;45,3
2022-04-30;42,0;42,0;1;33,0;43,0;1;32,0;44,1;1;30,9;45,1;1;29,9;46,2;1;28,8;47,2;1;27,8;48,3;1;26,7;49,4;1;25,6;50,4;1;24,6;51,9;1;23,1
2022-05-04;36,0;36,0;1;39,0;36,9;1;38,1;37,8;1;37,2;38,7;1;36,3;39,6;1;35,4;40,5;1;34,5;41,4;1;33,6;42,3;1;32,7;43,2;1;31,8;44,5;1;30,5
2022-05-05;42,0;42,0;1;33,0;43,0;1;32,0;44,1;1;30,9;45,1;1;29,9;46,2;1;28,8;47,2;1;27,8;48,3;1;26,7;49,4;1;25,6;50,4;1;24,6;51,9;1;23,1
2022-05-06;54,0;54,0;1;21,0;55,3;1;19,7;56,7;1;18,3;58,0;1;17,0;59,4;1;15,6;60,8;1;14,2;62,1;1;12,9;63,5;1;11,5;64,8;1;10,2;66,7;1;8,3
2022-05-07;36,0;36,0;1;39,0;36,9;1;38,1;37,8;1;37,2;38,7;1;36,3;39,6;1;35,4;40,5;1;34,5;41,4;1;33,6;42,3;1;32,7;43,2;1;31,8;44,5;1;30,5
2022-05-08;30,0;30,0;1;45,0;30,7;1;44,2;31,5;1;43,5;32,2;1;42,8;33,0;1;42,0;33,8;1;41,2;34,5;1;40,5;35,2;1;39,8;36,0;1;39,0;37,1;1;37,9
2022-05-11;66,0;66,0;1;9,0;67,6;1;7,4;69,3;1;5,7;71,0;1;4,0;72,6;1;2,4;74,2;1;0,8;75,9;2;74,1;77,5;2;72,5;79,2;2;70,8;81,6;2;68,4
2022-05-12;90,0;90,0;2;60,0;92,2;2;57,8;94,5;2;55,5;96,8;2;53,2;99,0;2;51,0;101,2;2;48,8;103,5;2;46,5;105,8;2;44,2;108,0;2;42,0;111,2;2;38,8
2022-05-13;72,0;72,0;1;3,0;73,8;1;1,2;75,6;2;74,4;77,4;2;72,6;79,2;2;70,8;81,0;2;69,0;82,8;2;67,2;84,6;2;65,4;86,4;2;63,6;89,0;2;61,0
2022-05-14;132,0;132,0;2;18,0;135,3;2;14,7;138,6;2;11,4;141,9;2;8,1;145,2;2;4,8;148,5;2;1,5;151,8;3;73,2;155,1;3;69,9;158,4;3;66,6;163,2;3;61,8
2022-05-15;60,0;60,0;1;15,0;61,5;1;13,5;63,0;1;12,0;64,5;1;10,5;66,0;1;9,0;67,5;1;7,5;69,0;1;6,0;70,5;1;4,5;72,0;1;3,0;74,2;1;0,8
2022-05-18;36,0;36,0;1;39,0;36,9;1;38,1;37,8;1;37,2;38,7;1;36,3;39,6;1;35,4;40,5;1;34,5;41,4;1;33,6;42,3;1;32,7;43,2;1;31,8;44,5;1;30,5
2022-05-19;30,0;30,0;1;45,0;30,7;1;44,2;31,5;1;43,5;32,2;1;42,8;33,0;1;42,0;33,8;1;41,2;34,5;1;40,5;35,2;1;39,8;36,0;1;39,0;37,1;1;37,9
2022-05-20;36,0;36,0;1;39,0;36,9;1;38,1;37,8;1;37,2;38,7;1;36,3;39,6;1;35,4;40,5;1;34,5;41,4;1;33,6;42,3;1;32,7;43,2;1;31,8;44,5;1;30,5
2022-05-21;60,0;60,0;1;15,0;61,5;1;13,5;63,0;1;12,0;64,5;1;10,5;66,0;1;9,0;67,5;1;7,5;69,0;1;6,0;70,5;1;4,5;72,0;1;3,0;74,2;1;0,8
2022-05-22;84,0;84,0;2;66,0;86,1;2;63,9;88,2;2;61,8;90,3;2;59,7;92,4;2;57,6;94,5;2;55,5;96,6;2;53,4;98,7;2;51,3;100,8;2;49,2;103,8;2;46,2
2022-05-25;42,0;42,0;1;33,0;43,0;1;32,0;44,1;1;30,9;45,1;1;29,9;46,2;1;28,8;47,2;1;27,8;48,3;1;26,7;49,4;1;25,6;50,4;1;24,6;51,9;1;23,1
2022-05-26;90,0;90,0;2;60,0;92,2;2;57,8;94,5;2;55,5;96,8;2;53,2;99,0;2;51,0;101,2;2;48,8;103,5;2;46,5;105,8;2;44,2;108,0;2;42,0;111,2;2;38,8
2022-05-27;72,0;72,0;1;3,0;73,8;1;1,2;75,6;2;74,4;77,4;2;72,6;79,2;2;70,8;81,0;2;69,0;82,8;2;67,2;84,6;2;65,4;86,4;2;63,6;89,0;2;61,0
2022-05-28;66,0;66,0;1;9,0;67,6;1;7,4;69,3;1;5,7;71,0;1;4,0;72,6;1;2,4;74,2;1;0,8;75,9;2;74,1;77,5;2;72,5;79,2;2;70,8;81,6;2;68,4
2022-05-29;66,0;66,0;1;9,0;67,6;1;7,4;69,3;1;5,7;71,0;1;4,0;72,6;1;2,4;74,2;1;0,8;75,9;2;74,1;77,5;2;72,5;79,2;2;70,8;81,6;2;68,4
2022-06-01;72,0;72,0;1;3,0;73,8;1;1,2;75,6;2;74,4;77,4;2;72,6;79,2;2;70,8;81,0;2;69,0;82,8;2;67,2;84,6;2;65,4;86,4;2;63,6;89,0;2;61,0
2022-06-02;42,0;42,0;1;33,0;43,0;1;32,0;44,1;1;30,9;45,1;1;29,9;46,2;1;28,8;47,2;1;27,8;48,3;1;26,7;49,4;1;25,6;50,4;1;24,6;51,9;1;23,1
2022-06-03;42,0;42,0;1;33,0;43,0;1;32,0;44,1;1;30,9;45,1;1;29,9;46,2;1;28,8;47,2;1;27,8;48,3;1;26,7;49,4;1;25,6;50,4;1;24,6;51,9;1;23,1
2022-06-04;111,0;111,0;2;39,0;113,8;2;36,2;116,6;2;33,4;119,3;2;30,7;122,1;2;27,9;124,9;2;25,1;127,6;2;22,4;130,4;2;19,6;133,2;2;16,8;137,2;2;12,8
2022-06-05;72,0;72,0;1;3,0;73,8;1;1,2;75,6;2;74,4;77,4;2;72,6;79,2;2;70,8;81,0;2;69,0;82,8;2;67,2;84,6;2;65,4;86,4;2;63,6;89,0;2;61,0
