Cremant ouvert au service, jour par jour - exercice 2024-2025
Source : ANNEXE-C, detail des tickets. Doses retenues par le service (reponse du 04/09/2026, p. 62) : cocktails 6 cl, verre 12 cl. Bouteille = 75 cl. Une bouteille de cremant ouverte n'est pas reservable au lendemain : le solde du soir est perdu.

Date;Cremant vendu (cl, doses carte);Verse a +0,0 % (cl);Bouteilles ouvertes +0,0 %;Jete le soir +0,0 % (cl);Verse a +2,5 % (cl);Bouteilles ouvertes +2,5 %;Jete le soir +2,5 % (cl);Verse a +5,0 % (cl);Bouteilles ouvertes +5,0 %;Jete le soir +5,0 % (cl);Verse a +7,5 % (cl);Bouteilles ouvertes +7,5 %;Jete le soir +7,5 % (cl);Verse a +10,0 % (cl);Bouteilles ouvertes +10,0 %;Jete le soir +10,0 % (cl);Verse a +12,5 % (cl);Bouteilles ouvertes +12,5 %;Jete le soir +12,5 % (cl);Verse a +15,0 % (cl);Bouteilles ouvertes +15,0 %;Jete le soir +15,0 % (cl);Verse a +17,5 % (cl);Bouteilles ouvertes +17,5 %;Jete le soir +17,5 % (cl);Verse a +20,0 % (cl);Bouteilles ouvertes +20,0 %;Jete le soir +20,0 % (cl);Verse a +23,6 % (cl);Bouteilles ouvertes +23,6 %;Jete le soir +23,6 % (cl)
2024-05-05;36,0;36,0;1;39,0;36,9;1;38,1;37,8;1;37,2;38,7;1;36,3;39,6;1;35,4;40,5;1;34,5;41,4;1;33,6;42,3;1;32,7;43,2;1;31,8;44,5;1;30,5
2024-05-08;72,0;72,0;1;3,0;73,8;1;1,2;75,6;2;74,4;77,4;2;72,6;79,2;2;70,8;81,0;2;69,0;82,8;2;67,2;84,6;2;65,4;86,4;2;63,6;89,0;2;61,0
2024-05-09;72,0;72,0;1;3,0;73,8;1;1,2;75,6;2;74,4;77,4;2;72,6;79,2;2;70,8;81,0;2;69,0;82,8;2;67,2;84,6;2;65,4;86,4;2;63,6;89,0;2;61,0
2024-05-10;102,0;102,0;2;48,0;104,5;2;45,5;107,1;2;42,9;109,6;2;40,4;112,2;2;37,8;114,8;2;35,2;117,3;2;32,7;119,9;2;30,1;122,4;2;27,6;126,1;2;23,9
2024-05-11;90,0;90,0;2;60,0;92,2;2;57,8;94,5;2;55,5;96,8;2;53,2;99,0;2;51,0;101,2;2;48,8;103,5;2;46,5;105,8;2;44,2;108,0;2;42,0;111,2;2;38,8
2024-05-12;78,0;78,0;2;72,0;79,9;2;70,1;81,9;2;68,1;83,8;2;66,2;85,8;2;64,2;87,8;2;62,2;89,7;2;60,3;91,7;2;58,3;93,6;2;56,4;96,4;2;53,6
2024-05-15;36,0;36,0;1;39,0;36,9;1;38,1;37,8;1;37,2;38,7;1;36,3;39,6;1;35,4;40,5;1;34,5;41,4;1;33,6;42,3;1;32,7;43,2;1;31,8;44,5;1;30,5
2024-05-16;18,0;18,0;1;57,0;18,4;1;56,5;18,9;1;56,1;19,3;1;55,7;19,8;1;55,2;20,2;1;54,8;20,7;1;54,3;21,2;1;53,8;21,6;1;53,4;22,2;1;52,8
2024-05-17;66,0;66,0;1;9,0;67,6;1;7,4;69,3;1;5,7;71,0;1;4,0;72,6;1;2,4;74,2;1;0,8;75,9;2;74,1;77,5;2;72,5;79,2;2;70,8;81,6;2;68,4
2024-05-18;72,0;72,0;1;3,0;73,8;1;1,2;75,6;2;74,4;77,4;2;72,6;79,2;2;70,8;81,0;2;69,0;82,8;2;67,2;84,6;2;65,4;86,4;2;63,6;89,0;2;61,0
2024-05-19;132,0;132,0;2;18,0;135,3;2;14,7;138,6;2;11,4;141,9;2;8,1;145,2;2;4,8;148,5;2;1,5;151,8;3;73,2;155,1;3;69,9;158,4;3;66,6;163,2;3;61,8
2024-05-22;72,0;72,0;1;3,0;73,8;1;1,2;75,6;2;74,4;77,4;2;72,6;79,2;2;70,8;81,0;2;69,0;82,8;2;67,2;84,6;2;65,4;86,4;2;63,6;89,0;2;61,0
