Ligne du ticket n° 2 (14/04/2022);Colonne « base HT » (BUGGEE);TVA encaissee (CORRECTE);Base correcte = TVA / taux
Ligne 10 %;5,70;1,43;14,30
Ligne 20 %;-14,80;0,87;4,35
TOTAL ticket (HT reel = 18,60 €);-9,10;2,30;18,65
