produit;categorie;quantite;prix_unitaire_ht;valeur_ht;fiabilite;page
Café Malongo Grain 1kg;boisson_sans_alcool;2;27.70;55.40;exact;10
Café Malongo Déca;boisson_sans_alcool;1;9.78;9.78;exact;10
Thé Vert Menthe;boisson_sans_alcool;0;6.42;0;exact;10
Peppermint Infusion;boisson_sans_alcool;0;6.42;0;exact;10
Thé Baies Rouges;boisson_sans_alcool;1;8.80;8.80;exact;10
Thé Vert Jasmin;boisson_sans_alcool;1;8.80;8.80;exact;10
Infusion Camomille;boisson_sans_alcool;0;8.80;0;exact;10
Infusion Verveine;boisson_sans_alcool;0;8.80;0;exact;10
Vittel 100cl;boisson_sans_alcool;13;0.83;10.79;exact;10
Perrier 33cl;boisson_sans_alcool;19;1.07;20.33;exact;10
Vittel 50cl;boisson_sans_alcool;33;0.88;29.04;exact;10
San Pellegrino 50cl;boisson_sans_alcool;33;0.88;29.04;exact;10
San Pellegrino 100cl;boisson_sans_alcool;25;1.15;28.75;exact;10
Orangina 33cl;boisson_sans_alcool;13;1.59;19.47;a_verifier;10
Fanta 33cl;boisson_sans_alcool;23;0.65;14.95;exact;10
Schweppes 33cl;boisson_sans_alcool;34;0.61;20.74;exact;10
Limonade Mortuacienne 1L;boisson_sans_alcool;14;0.96;13.44;exact;10
Granini Nectar Ananas;boisson_sans_alcool;9;3.22;28.98;exact;10
Granini Nectar Poire;boisson_sans_alcool;11;2.48;27.28;exact;10
Granini Jus Orange;boisson_sans_alcool;6;3.13;18.78;exact;10
Granini Jus Ananas;boisson_sans_alcool;3;3.14;9.42;exact;10
Granini Framboise 25cl;boisson_sans_alcool;25;1.31;32.75;exact;10
Granini Fraise 25cl;boisson_sans_alcool;32;1.19;38.08;exact;10
Granini Raisin 25cl;boisson_sans_alcool;19;1.07;20.33;exact;10
Granini Tomate 25cl;boisson_sans_alcool;17;0.99;16.83;exact;10
Coca-Cola 33cl;boisson_sans_alcool;92;0.64;58.88;exact;10
Fuze Tea 33cl;boisson_sans_alcool;26;0.65;16.90;exact;10
Monin Pêche 100cl;boisson_sans_alcool;1;5.99;5.99;exact;10
Monin Fraise 100cl;boisson_sans_alcool;1;5.31;5.31;exact;10
Monin Châtaigne 100cl;boisson_sans_alcool;3;5.50;16.50;exact;10
Monin Framboise 100cl;boisson_sans_alcool;1;6.23;6.23;exact;10
Monin Citron 100cl;boisson_sans_alcool;1;4.55;4.55;exact;10
Monin Orange 100cl;boisson_sans_alcool;2;4.55;9.10;exact;10
Monin Grenadine 100cl;boisson_sans_alcool;1;4.23;4.23;exact;10
Monin Menthe 100cl;boisson_sans_alcool;1;4.55;4.55;exact;10
Routin Citron Acide;boisson_sans_alcool;2;3.82;7.64;exact;10
Monin Pamplemousse 100cl;boisson_sans_alcool;2;5.50;11.00;exact;10
Monin Curaçao 100cl;boisson_sans_alcool;1;5.25;5.25;exact;10
Rouget de Lisle Blanche 33cl;alcool;41;1.80;73.80;exact;11
Rouget de Lisle Ambrée 33cl;alcool;36;1.80;64.80;exact;11
Fût Affligem 8L;alcool;4;4.07;16.28;exact;11
Cidre La Mordue 27cl;alcool;32;1.13;36.16;a_verifier;11
Cidre Brut 75cl;alcool;15;2.54;38.10;exact;11
Cidre Doux 75cl;alcool;14;2.89;40.46;exact;11
Pontarlier Anis 100cl;alcool;1;17.95;17.95;exact;11
Ricard 100cl;alcool;1;17.56;17.56;exact;11
Clan Campbell 70cl;alcool;1;17.56;17.56;exact;11
Jack Daniel's 70cl;alcool;1;19.26;19.26;exact;11
Marc du Jura 70cl;alcool;1;18.61;18.61;exact;11
Martini 100cl;alcool;1;8.15;8.15;exact;11
Marc de Bourgogne 70cl;alcool;0;25.90;0;exact;11
Porto 75cl;alcool;4;7.71;30.84;exact;11
Liqueur de Sapin 100cl;alcool;2;21.16;42.32;exact;11
Crème de Mûre 100cl;alcool;1;8.22;8.22;exact;11
Crème de Cassis 100cl;alcool;2;8.39;16.78;exact;11
Crème de Cerise 100cl;alcool;2;8.39;16.78;exact;11
Vodka Poliakov 70cl;alcool;1;9.03;9.03;exact;11
Cognac Park 70cl;alcool;1;19.62;19.62;exact;11
Absinthe 70cl;alcool;2;30.89;61.78;exact;11
Calvados 100cl;alcool;2;16.53;33.06;exact;11
Mirabelle 70cl;alcool;1;20.04;20.04;exact;11
Eau de Vie Framboise 70cl;alcool;1;21.65;21.65;exact;11
Soho Litchi 70cl;alcool;0;9.72;0;exact;11
Passoa 70cl;alcool;2;9.08;18.16;exact;11
Bailey's 70cl;alcool;0;12.99;0;exact;11
Picon 100cl;alcool;1;10.43;10.43;exact;11
Get 27 70cl;alcool;1;15.36;15.36;exact;11
Get 31 70cl;alcool;1;17.26;17.26;exact;11
Génépi 70cl;alcool;1;22.66;22.66;exact;11
Ravelin Blanc 99cl;alcool;0;3.25;0;exact;11
Chardonnay Tradition 75cl;alcool;0;6.48;0;exact;11
Bourgogne Aligoté BIB 10L;alcool;1;51.24;51.24;exact;11
BIB Côtes de Provence Rosé 10L;alcool;2;52.75;105.50;exact;11
BIB Côtes du Rhône Rouge 10L;alcool;1;31.30;31.30;exact;11
Ravelin 75cl;alcool;9;2.97;26.73;exact;11
Gewurztraminer 75cl;alcool;10;9.97;99.70;exact;11
Saint Joseph Rouge 75cl;alcool;9;12.96;116.64;exact;11
Moulin à Vent 75cl;alcool;8;10.88;87.04;exact;11
Haute Côte de Beaune 75cl;alcool;6;14.24;85.44;exact;11
Chablis 75cl;alcool;7;13.37;93.59;exact;11
Saint Véran 75cl;alcool;25;17.46;436.50;exact;11
Bordeaux Supérieur 75cl;alcool;1;6.28;6.28;exact;11
Grand Pavois 75cl;alcool;0;5.23;0;exact;11
Arbois Trousseau 75cl;alcool;10;9.77;97.70;exact;12
Arbois Béthanie 75cl;alcool;14;10.31;144.34;exact;12
Vin de Paille 37,5cl;alcool;2;16.61;33.22;exact;12
Arbois Savagnin 75cl;alcool;8;11.85;94.80;exact;12
Arbois Béthanie 37,5cl;alcool;16;6.68;106.88;exact;12
Arbois Chardonnay 75cl;alcool;18;7.27;130.86;exact;12
Arbois Vin Jaune 62cl;alcool;4;19.13;76.52;exact;12
L'Esprit Grassier Rosé 75cl;alcool;0;8.46;0;exact;12
Bohème Rosé (Le Pive) 75cl;alcool;10;8.28;82.80;exact;12
Rosé Les Jamelles 75cl;alcool;8;4.99;39.92;exact;12
Champagne Ruinart 75cl;alcool;0;44.63;0;exact;12
Champagne Jean Sandrin 75cl;alcool;8;16.55;132.40;exact;12
Crémant du Jura 75cl;alcool;8;7.75;62.00;exact;12
Macvin 75cl;alcool;5;13.67;68.35;exact;12
Grand Marnier 70cl;alcool;2;21.08;42.16;exact;12
Crème de Cassis 70cl;alcool;2;8.71;17.42;exact;12
Liqueur de Poire 70cl;alcool;1;16.43;16.43;exact;12
Liqueur de Sapin 70cl;alcool;2;18.91;37.82;exact;12
