produit;categorie;quantite;prix_unitaire_ht;valeur_ht;fiabilite;page
Rosé Le Pive 75cl;alcool;14;6.35;88.90;exact;8
Génépi 70cl;alcool;1;23.53;23.53;exact;8
Get 27 70cl;alcool;1;15.36;15.36;exact;8
Get 31 70cl;alcool;1;17.26;17.26;exact;8
Crème de Cassis 100cl;alcool;3;9.00;27.00;exact;8
Cognac 70cl;alcool;2;20.82;41.64;exact;8
Calvados 100cl;alcool;1;16.77;16.77;exact;8
Jack Daniel's 70cl;alcool;1;19.26;19.26;exact;8
Clan Campbell 70cl;alcool;1;12.80;12.80;exact;8
Vodka 70cl;alcool;1;9.67;9.67;exact;8
Liqueur de Sapin 100cl;alcool;1;21.36;21.36;exact;8
Eau de Vie de Poire 70cl;alcool;1;22.88;22.88;exact;8
Marc de Bourgogne 70cl;alcool;1;25.90;25.90;exact;8
Liqueur de Cerise 70cl;alcool;2;9.03;18.06;exact;8
Grand Marnier 70cl;alcool;1;21.79;21.79;exact;8
Ricard 100cl;alcool;1;17.95;17.95;exact;8
Pastis 51 100cl;alcool;1;16.44;16.44;exact;8
Absinthe 70cl;alcool;2;24.01;48.02;exact;8
Vin de Paille 37,5cl;alcool;3;16.61;49.83;exact;8
Eau de Vie Framboise 70cl;alcool;1;22.88;22.88;exact;8
Eau de Vie Mirabelle 70cl;alcool;1;20.69;20.69;exact;8
Arbois Blanc Cuvée Béthanie 75cl;alcool;17;10.88;184.96;exact;9
Arbois Chardonnay 75cl;alcool;16;7.96;129.36;a_verifier;9
Saint Véran 75cl;alcool;7;17.03;119.21;exact;9
Macon 75cl;alcool;6;8.73;48.41;a_verifier;9
Chablis 75cl;alcool;16;12.97;207.52;exact;9
Crémant du Jura 75cl;alcool;9;9.01;81.09;exact;9
Cidre Brut 75cl;alcool;22;2.75;60.50;exact;9
Rouget de Lisle Blanche 33cl;alcool;9;1.80;16.20;exact;9
Rouget de Lisle Ambrée 33cl;alcool;27;1.87;50.49;exact;9
Cidre La Mordue 27cl;alcool;18;1.17;21.06;exact;9
Gewurztraminer 75cl;alcool;3;9.97;29.91;exact;9
Côtes de Gascogne 75cl;alcool;4;5.23;20.92;exact;9
BIB Rosé 10L;alcool;3;52.75;158.25;exact;9
BIB Rouge 10L;alcool;1;30.38;30.38;exact;9
BIB Blanc 10L;alcool;2;54.29;108.58;exact;9
Fût Affligem 8L;alcool;5;33.84;169.20;exact;9
[Page 9 - écart ~92 € : 1 ligne vin non identifiée];alcool;;;91.97;a_verifier;9
Passoa 70cl;alcool;2;9.89;19.67;a_verifier;10
Soho Litchi 70cl;alcool;1;10.44;10.44;exact;10
Grand Marnier 70cl;alcool;1;21.79;21.79;exact;10
Martini Blanc 100cl;alcool;1;8.17;8.17;exact;10
Vin de Paille 37,5cl;alcool;5;16.61;83.05;exact;10
Bailey's 70cl;alcool;1;13.46;13.46;exact;10
Aperol 100cl;alcool;2;14.66;29.32;exact;10
Liqueur de Poire William 70cl;alcool;2;17.11;34.22;exact;10
Champagne Jean Sandrin 75cl;alcool;13;24.35;316.55;a_verifier;10
Porto 75cl;alcool;2;8.03;16.06;exact;10
Arbois Vin Jaune 62cl;alcool;2;29.70;59.40;exact;10
Arbois Trousseau 75cl;alcool;8;10.73;85.84;exact;10
Hautes Côtes de Beaune 75cl;alcool;8;14.40;115.41;a_verifier;10
Saint Joseph Rouge 75cl;alcool;9;13.80;124.20;exact;10
Arbois Savagnin 75cl;alcool;13;11.85;154.05;exact;10
Moulin à Vent 75cl;alcool;10;11.82;118.20;exact;10
Côtes de Provence Rosé Minuty 75cl;alcool;5;13.21;66.05;exact;10
Rosé Les Jamelles 75cl;alcool;16;5.21;83.36;exact;10
Arbois Blanc Cuvée Béthanie 37,5cl;alcool;15;6.72;100.80;exact;10
[Page 10 - écart a fiabiliser];alcool;;;226.44;a_verifier;10
Jus de Poire 1L;boisson_sans_alcool;6;5.13;30.70;a_verifier;11
Jus Ananas 1L;boisson_sans_alcool;8;3.39;27.12;exact;11
Jus Pomme 1L;boisson_sans_alcool;18;2.80;50.40;exact;11
Jus Orange 1L;boisson_sans_alcool;9;3.38;30.42;exact;11
Sirop Pulco/divers 70cl;boisson_sans_alcool;2;4.84;9.68;a_verifier;11
Sirop Châtaigne 100cl;boisson_sans_alcool;2;5.61;11.22;exact;11
Sirop Orange 100cl;boisson_sans_alcool;2;4.64;9.28;exact;11
Sirop Cerise 100cl;boisson_sans_alcool;2;6.36;12.72;exact;11
Coca-Cola 33cl;boisson_sans_alcool;118;0.66;77.88;a_verifier;11
Fuzetea 33cl;boisson_sans_alcool;57;0.73;41.61;a_verifier;11
Schweppes Agrum 33cl;boisson_sans_alcool;27;0.73;19.80;a_verifier;11
Fanta 33cl;boisson_sans_alcool;41;0.73;29.93;a_verifier;11
Orangina 33cl;boisson_sans_alcool;46;0.61;28.06;a_verifier;11
[Page 11 - sirops Pêche/Grenadine/Citron + écart a fiabiliser];boisson_sans_alcool;;;94.59;a_verifier;11
Jus de Tomate 25cl;boisson_sans_alcool;19;1.02;19.38;exact;12
Jus Frais 25cl;boisson_sans_alcool;29;1.22;35.38;exact;12
Perrier 33cl;boisson_sans_alcool;39;1.11;43.29;exact;12
San Pellegrino 100cl;boisson_sans_alcool;28;1.19;33.32;exact;12
San Pellegrino 50cl;boisson_sans_alcool;48;0.90;43.20;exact;12
Vittel 100cl;boisson_sans_alcool;12;0.86;10.32;exact;12
Vittel 50cl;boisson_sans_alcool;14;0.70;9.80;exact;12
Limonade Mortuacienne 1L;boisson_sans_alcool;23;0.96;22.08;exact;12
Café grains 1kg;boisson_sans_alcool;2;25.50;51.00;exact;12
Café déca;boisson_sans_alcool;2;9.78;19.56;exact;12
